code,DC,code_old,name,units,size,description
B_BKb,,_Б_БКб,Бортовой камень без фаски,m,"Ш=200, В=min 300, Д=500-1000","бордюр Вплоскости мощения, гранит"
B_BKp,,_Б_БКп,Бортовой камень с фаской ,m,"Ш=200, В=min 300, Д=500-1000","поребрик, гранит"
B_BKr,,_Б_БКр,Бортовой камень с фаской,m,"Ш=200, В=min 300, Д=200-300","блоки для радиусных участков, гранит"
INZH_K,RP_G_03,_ИНЖ_К,Дождеприемный колодец,pcs,500x500мм,"Устанавливаются каждые 80 м при уклоне улицы 0,02. Чугунная решетка"
INZH_L,,_ИНЖ_Л,Крышка люка,pcs,,"Чугун, рисунок по индивидуальному дизайну"
INZH_Sh,,_ИНЖ_Ш,Электрошкаф,pcs,,
OB_TBO,,_ОБ_ТБО,ТБО,pcs,"1700x4600мм, В=2200 ","Металлокаркас, ограждение из ПВЛ Впрофиле, 2 открывающиеся створки по одной стороне, навес из профнастила.
Вдоль стационарных стенок плющ/девичий виноград (G_E_ParthenocíssusQuinquefolia)"
DP_PriR,,_ДП_ПриР,Приствольная Решетка,pcs,1200х1200мм,Чугунная решетка с рисунком по индивидуальному дизайну
DP_A,P_C_02,_ДП_А,Асфальт,m2,,
DP_G,,_ДП_Г,Гравий/Галька,m2,,Фракция 30-50мм
DP_LONG,,_ДП_ЛОНГ,Лоток органически незагрязненной воды с засыпкой,m,"Ш=500мм, В=120мм",Лоток с засыпкой крупной галькой фракции 50-150мм
DP_LONR,RP_G_01,_ДП_ЛОНР,Лоток органически незагрязненной воды с решеткой,m,"Ш=500мм, В=120мм",Лоток с чугунной решеткой
DP_LONO,,_ДП_ЛОНО,Лоток органически незагрязненной воды открытый,m,"Ш=500мм, В=120мм",Лоток гранитный на тротуаре
DP_LOZV,P_B_07,_ДП_ЛОЗВ,Лоток органически загрязненной воды,m,"Ш=500мм, плиты 180x180мм  В=80мм","Водонепроницаемое мощение (на ЦПС) нижнего уровня полосы вдоль проезжей части, гранит"
DP_MPrk,P_B_07,_ДП_МПрк,Мощение парковок,m2,"180x180мм, В=80мм","Водонепроницаемое мощение (на ЦПС), гранит"
DP_MV,P_C_01,_ДП_МВ,Мощение въездов,m2,"360x360мм, В=80мм","Водонепроницаемое мощение (на ЦПС), гранит"
DP_MPsh,,_ДП_МПш,Мощение пешеходной части (тротуара),m2,180x180мм  В=80мм,"Водопроницаемое мощение (на песчаной подушке), рукельский известняк"
DP_RP,P_B_07,_ДП_РП,Разделительная полоса,m2,180x180мм  В=80мм,"Водонепроницаемое мощение (на ЦПС), выделяющее зону въездов во дворы, из рукельского известняка"
DP_PL,,_ДП_ПЛ,Транзитный тротуар,m2,"720х360 мм, В=80мм","Плиты из рукельского известняка на водопроницаемом основании.

1 варинат
Плиты укладываются на заглубленный ЖБ борт.
В подконструкции 3 (три) заглубленных ЖБ борта В=600мм
на расстоянии 750мм для прокладки коммуникаций В2 каналах (лотках) между бортами

2 варинат
Водопроницаемое мощение (на песчаной подушке) из рукельского известняка"
DP_O,P_B_01,_ДП_О,Отмостка,m2,"Ш=1200мм, Плитняк В=60мм",Водонепроницаемое мощение (на ЦПС) плитняк из рукельского известняка
DP_PP,,_ДП_ПП,Мощение поднятого перекрестка,m2,"360x360мм, В=100мм","Водонепроницаемое мощение (на ЦПС) двух контрастных оттенков, гранит"
DP_TP,,_ДП_ТП,Плитка тротуарная тактильная ,m2,"300х300мм, В=70мм",Продольный риф
DP_Mkb,,_ДП_Мкб,Мощение по ул. Кази-Бека,m2,,Водонепроницаемое мощение (на ЦПС). Плиты Вматериале мощения пешеходной улицы Кази-бека
OB_CKM,,_ОБ_СКМ,Скамья со спинкой,pcs,"1400x450мм, В сидения=413мм","Материал: натуральный камень (дербентский песчаник); 
каркас сидения откидной — сталь (горячего или холодного 
цинкования, порошковое покрытие), сиденье — древесина (пропитка защитными маслами)"
OB_CKM2,,_ОБ_СКМ2,Скамья со спинкой,pcs,"1400x450мм, В сидения=413мм","Материал: натуральный камень (дербентский песчаник); 
каркас сидения откидной — сталь (горячего или холодного 
цинкования, порошковое покрытие), сиденье — древесина (пропитка защитными маслами)"
OB_URNA,EQ_B_04,_ОБ_УРНА,Урна,pcs,"360x360мм, В=800мм","Материал: каркас — сталь (горячего или холодного 
цинкования, порошковое покрытие),
мытый бетон (оттенок близкий к натуральному камню)"
OB_OGR,,_ОБ_ОГР,"Ограничитель въезда
на поднятом перекрестке со встроенной подсветкой
(катафотом) 
рукельский камень
200x200мм В=800 ",pcs,,
OB_NAV,,_ОБ_НАВ,Навигация ,pcs,,???
OC_TRSH,L_B_03,_ОС_ТРШ,Опора со светильником (Метро 45),pcs,"В(опоры) =7м, В(светильника) =4м",Светильник крепится на опоре на высоте 4 м для освещения тротуара
OC_CVdor,L_B_03,_ОС_СВдор,Светильник (Метро 45),pcs,В(светильника) =6м,"Светильник крепится на растяжках по оси дороги для освещения дорожного полотна
(В таком решении подключение и прокладка кабеля для освещения возможна по одной стороне улицы)"
VH_CP,,_ВХ_СП,"Спуск в подвал (лестница, ограждение, навес)",pcs,,
VH_L,,_ВХ_Л,"Входная группа (лестница, ограждение, навес)",,,
ZM,,_ЗМ,Зеленый модуль,m2,Ш=900-2200мм,Почвопокровные растения вдоль проезжей части (как временное решение возможна засыпка модуля галькой)
ZM_exist,,_ЗМ_сущ,Зеленый модуль частный (клумба существующая),m2,,
,,_ОБ_ДРВ_сущ,,,,
